       139	   J2017-27	          224.000	  26.00
       140	   J1221-06	            1.930	  16.00
       141	   J1941+02	         1232.000	  87.00
       142	   J1316-01	            2.910	  29.40
       143	   J1741-02	          132.000	  81.80
       144	   J2017-04	           40.600	  30.90
       145	   J2207-15	          766.000	  28.70
       146	   J2257-16	          469.000	  52.80
       147	   J0025-19	         1306.000	  21.00
       148	   J1733-01	          302.000	  61.90
       149	   J1946-09	           91.200	  50.20
       150	   J1921-05	         2228.000	  80.30
